study_name, sample_id,NCBI_accession
ShaoY_2019,dd50e284-7ae6-11e9-a106-68b59976a384,ERR3405773
ShaoY_2019,dd382582-7ae6-11e9-a106-68b59976a384,ERR3405765
ShaoY_2019,dd1f5d04-7ae6-11e9-a106-68b59976a384,ERR3406215
ShaoY_2019,dd06bb82-7ae6-11e9-a106-68b59976a384,ERR3406120
ShaoY_2019,dcedc4f6-7ae6-11e9-a106-68b59976a384,ERR3405728
ShaoY_2019,dd855316-7ae6-11e9-a106-68b59976a384,ERR3405192
ShaoY_2019,e2aa4144-7ae6-11e9-a106-68b59976a384,ERR3406221
ShaoY_2019,de75ea4c-7ae6-11e9-a106-68b59976a384,ERR3405308
ShaoY_2019,dea84d70-7ae6-11e9-a106-68b59976a384,ERR3405311
ShaoY_2019,b5606934-7ae6-11e9-a106-68b59976a384,ERR3405733
ShaoY_2019,dfa7b1ac-7ae6-11e9-a106-68b59976a384,ERR3406077
ShaoY_2019,df980388-7ae6-11e9-a106-68b59976a384,ERR3406217
ShaoY_2019,df884cfe-7ae6-11e9-a106-68b59976a384,ERR3406083
ShaoY_2019,df78f7ae-7ae6-11e9-a106-68b59976a384,ERR3405333
ShaoY_2019,df6b1dd2-7ae6-11e9-a106-68b59976a384,ERR3405332
ShaoY_2019,de8f6eb8-7ae6-11e9-a106-68b59976a384,ERR3405310
ShaoY_2019,df5d2c86-7ae6-11e9-a106-68b59976a384,ERR3405331
ShaoY_2019,df429b6e-7ae6-11e9-a106-68b59976a384,ERR3405312
ShaoY_2019,df2ebb80-7ae6-11e9-a106-68b59976a384,ERR3406022
ShaoY_2019,df15f942-7ae6-11e9-a106-68b59976a384,ERR3405952
ShaoY_2019,defb4390-7ae6-11e9-a106-68b59976a384,ERR3405771
ShaoY_2019,dedb98ba-7ae6-11e9-a106-68b59976a384,ERR3406058
ShaoY_2019,dec1ca5c-7ae6-11e9-a106-68b59976a384,ERR3405309
ShaoY_2019,df4fe440-7ae6-11e9-a106-68b59976a384,ERR3405313
ShaoY_2019,e8f16190-7ae6-11e9-a106-68b59976a384,ERR3405730
ShaoY_2019,e2be2394-7ae6-11e9-a106-68b59976a384,ERR3405390
ShaoY_2019,e2e4d39a-7ae6-11e9-a106-68b59976a384,ERR3405392
ShaoY_2019,e5e04548-7ae6-11e9-a106-68b59976a384,ERR3405400
ShaoY_2019,e5f3e436-7ae6-11e9-a106-68b59976a384,ERR3405401
ShaoY_2019,e607cf64-7ae6-11e9-a106-68b59976a384,ERR3405402
ShaoY_2019,e61bd310-7ae6-11e9-a106-68b59976a384,ERR3405403
ShaoY_2019,e62fe436-7ae6-11e9-a106-68b59976a384,ERR3405406
ShaoY_2019,e643e954-7ae6-11e9-a106-68b59976a384,ERR3405407
ShaoY_2019,e657efb2-7ae6-11e9-a106-68b59976a384,ERR3405404
ShaoY_2019,e66bca28-7ae6-11e9-a106-68b59976a384,ERR3405405
ShaoY_2019,e6800d9e-7ae6-11e9-a106-68b59976a384,ERR3406226
ShaoY_2019,e693c992-7ae6-11e9-a106-68b59976a384,ERR3405408
ShaoY_2019,e6a7dffe-7ae6-11e9-a106-68b59976a384,ERR3405409
ShaoY_2019,e6bd6f90-7ae6-11e9-a106-68b59976a384,ERR3405410
ShaoY_2019,e6d17d50-7ae6-11e9-a106-68b59976a384,ERR3405411
ShaoY_2019,e6e4a092-7ae6-11e9-a106-68b59976a384,ERR3406227
ShaoY_2019,e6f893fe-7ae6-11e9-a106-68b59976a384,ERR3406097
ShaoY_2019,e70c98cc-7ae6-11e9-a106-68b59976a384,ERR3406094
ShaoY_2019,e7209d72-7ae6-11e9-a106-68b59976a384,ERR3405412
ShaoY_2019,e84d4416-7ae6-11e9-a106-68b59976a384,ERR3405416
ShaoY_2019,e838e6c4-7ae6-11e9-a106-68b59976a384,ERR3406228
ShaoY_2019,e824e066-7ae6-11e9-a106-68b59976a384,ERR3405964
ShaoY_2019,e80f5dea-7ae6-11e9-a106-68b59976a384,ERR3405817
ShaoY_2019,e7fb5282-7ae6-11e9-a106-68b59976a384,ERR3405804
ShaoY_2019,e7e74cba-7ae6-11e9-a106-68b59976a384,ERR3405533
ShaoY_2019,e5cbb70e-7ae6-11e9-a106-68b59976a384,ERR3405619
ShaoY_2019,e7d398a0-7ae6-11e9-a106-68b59976a384,ERR3405532
ShaoY_2019,e7aacd26-7ae6-11e9-a106-68b59976a384,ERR3405530
ShaoY_2019,e7824c48-7ae6-11e9-a106-68b59976a384,ERR3405653
ShaoY_2019,e76fff84-7ae6-11e9-a106-68b59976a384,ERR3406036
ShaoY_2019,e75bda04-7ae6-11e9-a106-68b59976a384,ERR3405415
ShaoY_2019,e748acf4-7ae6-11e9-a106-68b59976a384,ERR3405414
ShaoY_2019,e734a420-7ae6-11e9-a106-68b59976a384,ERR3405413
ShaoY_2019,e7bf3982-7ae6-11e9-a106-68b59976a384,ERR3405531
ShaoY_2019,e5b7fdb8-7ae6-11e9-a106-68b59976a384,ERR3405622
ShaoY_2019,e5a4312a-7ae6-11e9-a106-68b59976a384,ERR3405399
ShaoY_2019,e5902d6a-7ae6-11e9-a106-68b59976a384,ERR3405398
ShaoY_2019,e3fcc166-7ae6-11e9-a106-68b59976a384,ERR3405322
ShaoY_2019,e3e7f2f4-7ae6-11e9-a106-68b59976a384,ERR3405321
ShaoY_2019,e3d44510-7ae6-11e9-a106-68b59976a384,ERR3406223
ShaoY_2019,e3c06c2a-7ae6-11e9-a106-68b59976a384,ERR3405647
ShaoY_2019,e3ae2308-7ae6-11e9-a106-68b59976a384,ERR3405620
ShaoY_2019,e39aa13e-7ae6-11e9-a106-68b59976a384,ERR3405618
ShaoY_2019,e410443e-7ae6-11e9-a106-68b59976a384,ERR3405624
ShaoY_2019,e3863398-7ae6-11e9-a106-68b59976a384,ERR3405621
ShaoY_2019,e35eb188-7ae6-11e9-a106-68b59976a384,ERR3405320
ShaoY_2019,e34b292e-7ae6-11e9-a106-68b59976a384,ERR3405319
ShaoY_2019,e3358308-7ae6-11e9-a106-68b59976a384,ERR3405393
ShaoY_2019,e321cfa2-7ae6-11e9-a106-68b59976a384,ERR3405318
ShaoY_2019,e30deb54-7ae6-11e9-a106-68b59976a384,ERR3405317
ShaoY_2019,e2fa06de-7ae6-11e9-a106-68b59976a384,ERR3406222
ShaoY_2019,e3728dac-7ae6-11e9-a106-68b59976a384,ERR3406030
ShaoY_2019,e2d0071c-7ae6-11e9-a106-68b59976a384,ERR3405391
ShaoY_2019,e4244a56-7ae6-11e9-a106-68b59976a384,ERR3406027
ShaoY_2019,e44cf730-7ae6-11e9-a106-68b59976a384,ERR3405527
ShaoY_2019,e57b5cd2-7ae6-11e9-a106-68b59976a384,ERR3405397
ShaoY_2019,e5672d66-7ae6-11e9-a106-68b59976a384,ERR3406225
ShaoY_2019,e552e964-7ae6-11e9-a106-68b59976a384,ERR3406127
